Name,Abbrev
Andrews,Adr
Angelina,Ang
Aransas,Ara
Archer,Arc
Armstrong,Arm
Anderson,Asn
Atascosa,Ata
Austin,Aus
Bailey,Bai
Bandera,Ban
Bastrop,Bas
Baylor,Bay
Bee,Bee
Bell,Bell
Bexar,Bexar
Blanco,Bla
Burnet,Bnt
Bowie,Bow
Borden,Brd
Briscoe,Bri
Brooks,Brk
Burleson,Brl
Brown,Brn
Brewster,Brw
Brazoria,Brza
Bosque,Bsq
Brazos,Bzs
Cameron,Camrn
Carson,Car
Cass,Cast
Chambers,Cha
Cherokee,Che
Childress,Chi
Callahan,Chn
Clay,Cla
Caldwell,Cld
Collingsworth,Clg
Calhoun,Clh
Colorado,Clr
Comal,Cml
Camp,Cmp
Cochran,Coc
Coke,Cok
Coleman,Col
Collin,Collin
Comanche,Com
Concho,Con
Cooke,Coo
Coryell,Cor
Cottle,Cot
Crane,Cra
Crockett,Crk
Crosby,Crs
Castro,Cst
Culberson,Cul
Dallas,Dallas
Dawson,Daw
Denton,Denton
DeWitt,DeW
Dimmit,Dim
Dickens,Dkn
Dallam,Dlm
Delta,Dlt
Donley,Don
Deaf Smith,DS
Duval,Duv
Eastland,Eas
Ector,Ect
Edwards,Edw
El Paso,El Paso
Ellis,Ell
Erath,Era
Falls,Fal
Fannin,Fan
Fayette,Fay
Floyd,Flo
Fort Bend,Fort Bend
Foard,Frd
Freestone,Fre
Frio,Fri
Franklin,Frn
Fisher,Fsh
Gaines,Gai
Galveston,Galv
Gillespie,Gil
Glasscock,Gla
Gonzales,Gnz
Goliad,Gol
Gray,Gra
Gregg,Grg
Grimes,Grm
Grayson,Grs
Garza,Grz
Guadalupe,Gua
Hamilton,Ham
Hansford,Han
Harris,Harris
Hays,Hay
Hardeman,Hdm
Hardin,Hdn
Hidalgo,Hidalgo
Hill,Hil
Hale,Hle
Hall,Hll
Hemphill,Hmp
Henderson,Hnd
Hunt,Hnt
Hockley,Hoc
Hood,Hoo
Hopkins,Hop
Howard,How
Harrison,Hrs
Hartley,Hrt
Haskell,Hsk
Houston,Hst
Hutchinson,Htc
Hudspeth,Hud
Irion,Iri
Jack,Jac
Jasper,Jas
Jeff Davis,JD
Jefferson,Jef
Jim Hogg,JH
Jackson,Jks
Johnson,Jns
Jones,Jon
Jim Wells,JW
Karnes,Kar
Kaufman,Kau
Kenedy,Kdy
Kendall,Ken
Kerr,Ker
Kimble,Kim
Kinney,Kin
Kleberg,Kle
King,Kng
Kent,Knt
Knox,Knx
Lamar,Lam
Lavaca,Lav
Lee,Lee
Leon,Leo
Liberty,Lib
Limestone,Lim
Lipscomb,Lip
Llano,Lla
Lamb,Lmb
Lampasas,Lmp
Live Oak,LO
Loving,Lov
La Salle,LS
Lubbock,Lubb
Lynn,Lyn
Madison,Mad
Marion,Mar
Mason,Mas
Matagorda,Mat
Maverick,Mav
McCulloch,McC
McLennan,McL
McMullen,McM
Medina,Med
Menard,Men
Montague,Mgu
Midland,Mid
Mills,Mil
Mitchell,Mit
Milam,Mlm
Montgomery,Montg
Moore,Mor
Motley,Mot
Morris,Mrs
Martin,Mrt
Nacogdoches,Nac
Navarro,Nav
Nolan,Nol
Nueces,Nueces
Newton,Nwt
Ochiltree,Och
Oldham,Old
Orange,Ora
Panola,Pan
Pecos,Pec
Polk,Plk
Potter,Pot
Palo Pinto,PP
Parker,Prk
Parmer,Prm
Presidio,Prs
Rains,Rai
Randall,Ran
Robertson,Rbs
Real,Rea
Reeves,Ree
Refugio,Ref
Reagan,Rgn
Roberts,Rob
Rockwall,Roc
Red River,RR
Runnels,Run
Rusk,Rus
San Augustine,SA
Sabine,Sab
Schleicher,Scl
Scurry,Scr
Shackelford,Shc
Shelby,Shl
Sherman,Shr
San Jacinto,SJ
Somervell,Smr
Smith,Smt
San Patricio,SP
San Saba,SS
Starr,Sta
Stonewall,Stn
Stephens,Stp
Sterling,Str
Sutton,Sut
Swisher,Swi
Tarrant,Tarrant
Taylor,Tay
Tom Green,TG
Throckmorton,Thr
Travis,Travis
Trinity,Tri
Terrell,Trl
Terry,Try
Titus,Tts
Tyler,Tyl
Upshur,Ups
Upton,Upt
Uvalde,Uva
Victoria,Vic
Val Verde,VV
Van Zandt,VZ
Webb,Web
Wheeler,Whe
Wharton,Whr
Wichita,Wic
Wise,Wis
Wilbarger,Wlb
Willacy,Wlc
Walker,Wlk
Williamson,Wllmsn
Waller,Wlr
Wilson,Wls
Winkler,Wnk
Wood,Woo
Ward,Wrd
Washington,Wsh
Yoakum,Yoa
Young,You
Zapata,Zap
Zavala,Zav
