Name,Section,Number,Population,FIPS
Anderson,J,11,58199,48001
Andrews,C,11,22269,48003
Angelina,J,23,90437,48005
Aransas,N,29,27699,48007
Archer,F,13,8344,48009
Armstrong,E,33,1948,48011
Atascosa,N,14,51831,48013
Austin,K,12,30402,48015
Bailey,D,11,7692,48017
Bandera,B,25,21246,48019
Bastrop,M,13,86105,48021
Baylor,F,12,3624,48023
Bee,N,26,34445,48025
Bell,L,22,353629,48027
Bexar,N,4,2093502,48029
Blanco,B,19,11504,48031
Borden,C,3,685,48033
Bosque,L,3,17765,48035
Bowie,I,3,92570,48037
Brazoria,K,22,375869,48039
Brazos,L,43,229410,48041
Brewster,A,7,9133,48043
Briscoe,D,4,1568,48045
Brooks,O,13,7175,48047
Brown,G,23,38923,48049
Burleson,L,42,17718,48051
Burnet,L,21,48196,48053
Caldwell,M,12,44284,48055
Calhoun,M,42,22840,48057
Callahan,G,12,13456,48059
Cameron,O,24,427881,48061
Camp,I,15,13322,48063
Carson,E,23,5799,48065
Cass,I,17,30327,48067
Castro,D,2,7103,48069
Chambers,K,24,42320,48071
Cherokee,J,22,52178,48073
Childress,D,6,7062,48075
Clay,F,14,9787,48077
Cochran,D,21,3348,48079
Coke,C,25,3215,48081
Coleman,G,22,8478,48083
Collin,H,12,1039369,48085
Collingsworth,E,35,3210,48087
Colorado,M,33,21273,48089
Comal,M,1,147330,48091
Comanche,G,24,13075,48093
Concho,B,1,4147,48095
Cooke,H,1,39727,48097
Coryell,L,12,78317,48099
Cottle,D,16,1510,48101
Crane,C,31,6209,48103
Crockett,B,11,4040,48105
Crosby,D,24,6464,48107
Culberson,A,3,2245,48109
Dallam,E,1,7237,48111
Dallas,H,22,2734111,48113
Dawson,C,2,13592,48115
Deaf Smith,E,31,18143,48117
Delta,I,11,5367,48119
Denton,H,11,897953,48121
DeWitt,M,31,21737,48123
Dickens,D,25,2174,48125
Dimmit,N,22,11743,48127
Donley,E,34,3410,48129
Duval,O,2,11796,48131
Eastland,G,13,18205,48133
Ector,C,21,184841,48135
Edwards,B,22,1991,48137
El Paso,A,1,876120,48141
Ellis,H,33,177721,48139
Erath,G,25,41526,48143
Falls,L,23,16603,48145
Fannin,H,3,34597,48147
Fayette,M,22,26086,48149
Fisher,C,5,3985,48151
Floyd,D,14,5786,48153
Foard,F,2,1240,48155
Fort Bend,K,21,840383,48157
Franklin,I,13,10924,48159
Freestone,J,1,19860,48161
Frio,N,13,20023,48163
Gaines,C,1,22121,48165
Galveston,K,23,355196,48167
Garza,D,34,6784,48169
Gillespie,B,18,26191,48171
Glasscock,C,23,1365,48173
Goliad,N,27,7717,48175
Gonzales,M,21,21347,48177
Gray,E,24,24252,48179
Grayson,H,2,131710,48181
Gregg,I,24,125730,48183
Grimes,K,1,28930,48185
Guadalupe,M,11,170266,48187
Hale,D,13,33202,48189
Hall,D,5,3305,48191
Hamilton,L,2,8220,48193
Hansford,E,3,5820,48195
Hardeman,F,1,3870,48197
Hardin,K,16,56486,48199
Harris,K,14,4978845,48201
Harrison,I,25,68247,48203
Hartley,E,11,6067,48205
Haskell,F,21,6197,48207
Hays,M,2,234896,48209
Hemphill,E,15,4644,48211
Henderson,H,35,81179,48213
Hidalgo,O,22,870366,48215
Hill,H,32,35673,48217
Hockley,D,22,24636,48219
Hood,G,26,58643,48221
Hopkins,I,12,37040,48223
Houston,J,12,22620,48225
Howard,C,13,41236,48227
Hudspeth,A,2,3400,48229
Hunt,H,13,95324,48231
Hutchinson,E,13,21461,48233
Irion,C,34,1508,48235
Jack,F,23,8841,48237
Jackson,M,43,15899,48239
Jasper,J,16,35525,48241
Jeff Davis,A,5,2113,48243
Jefferson,K,25,258678,48245
Jim Hogg,O,12,5077,48247
Jim Wells,O,3,42890,48249
Johnson,H,31,171701,48251
Jones,G,1,19735,48253
Karnes,N,16,15393,48255
Kaufman,H,24,125134,48257
Kendall,B,26,46278,48259
Kenedy,O,14,476,48261
Kent,D,35,795,48263
Kerr,B,24,52267,48265
Kimble,B,15,4344,48267
King,D,26,309,48269
Kinney,N,1,3462,48271
Kleberg,O,6,30987,48273
Knox,F,11,3937,48275
La Salle,N,23,8309,48283
Lamar,I,1,50014,48277
Lamb,D,12,12776,48279
Lampasas,L,11,21037,48281
Lavaca,M,32,20735,48285
Lee,L,41,17595,48287
Leon,J,2,17707,48289
Liberty,K,15,85284,48291
Limestone,L,24,23544,48293
Lipscomb,E,5,3651,48295
Live Oak,N,25,12030,48297
Llano,B,17,19452,48299
Loving,A,11,92,48301
Lubbock,D,23,317210,48303
Lynn,D,33,5588,48305
