County Name,Section,Number,Population,FIPS,03-09-2020,03-10-2020,03-11-2020,03-12-2020,03-13-2020,03-15-2020,03-16-2020,03-17-2020,03-18-2020,03-19-2020,03-20-2020,03-21-2020,03-22-2020,03-23-2020,03-24-2020,03-25-2020,03-26-2020,03-27-2020,03-28-2020,03-29-2020,03-30-2020,03-31-2020,04-01-2020,04-02-2020,04-03-2020,04-04-2020,04-05-2020,04-06-2020,04-07-2020,04-08-2020,04-09-2020,04-10-2020,04-11-2020,04-12-2020,04-13-2020,04-14-2020,04-15-2020,04-16-2020,04-17-2020,04-18-2020,04-19-2020,04-20-2020,04-21-2020,04-22-2020,04-23-2020,04-24-2020,04-25-2020,04-26-2020,04-27-2020,04-28-2020,04-29-2020,04-30-2020,05-01-2020,05-02-2020,05-03-2020,05-04-2020,05-05-2020,05-06-2020,05-07-2020,05-08-2020,05-09-2020,05-10-2020,05-11-2020,05-12-2020,05-13-2020,05-14-2020,05-15-2020,05-16-2020,05-17-2020,05-18-2020,05-19-2020,05-20-2020,05-21-2020,05-22-2020,05-23-2020,05-24-2020,05-25-2020,05-26-2020,05-27-2020,05-28-2020,05-29-2020,05-30-2020,05-31-2020,06-01-2020,06-02-2020,06-03-2020,06-04-2020,06-05-2020,06-06-2020,06-07-2020,06-08-2020,06-09-2020,06-10-2020,06-11-2020,06-12-2020,06-13-2020,06-14-2020,06-15-2020,06-16-2020,06-17-2020,06-18-2020,06-19-2020,06-20-2020,06-21-2020,06-22-2020,06-23-2020,06-24-2020,06-25-2020,06-26-2020,06-27-2020,06-28-2020,06-29-2020,06-30-2020,07-01-2020,07-02-2020,07-03-2020,07-04-2020,07-05-2020,07-06-2020,07-07-2020,07-08-2020,07-09-2020,07-10-2020,07-11-2020,07-12-2020,07-13-2020,07-14-2020,07-15-2020,07-16-2020,07-17-2020,07-18-2020,07-19-2020,07-20-2020,07-21-2020,07-22-2020,07-23-2020,07-24-2020,07-25-2020,07-26-2020,07-27-2020,07-28-2020,07-29-2020,07-30-2020,07-31-2020,08-01-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,08-06-2020,08-07-2020,08-08-2020,08-09-2020,08-10-2020,08-11-2020,08-12-2020,08-13-2020,08-14-2020,08-15-2020,08-16-2020,08-17-2020,08-18-2020,08-19-2020,08-20-2020,08-21-2020,08-22-2020,08-23-2020,08-24-2020,08-25-2020,08-26-2020,08-27-2020,08-28-2020,08-29-2020,08-30-2020,08-31-2020,09-01-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,09-06-2020,09-07-2020,09-08-2020,09-09-2020,09-10-2020,09-11-2020,09-12-2020,09-13-2020,09-14-2020,09-15-2020,09-16-2020,09-17-2020,09-18-2020,09-19-2020,09-20-2020,09-21-2020,09-22-2020,09-23-2020,09-24-2020,09-25-2020,09-26-2020,09-27-2020,09-28-2020,09-29-2020,09-30-2020,10-01-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,10-06-2020,10-07-2020,10-08-2020,10-09-2020,10-10-2020,10-11-2020,10-12-2020,10-13-2020,10-14-2020,10-15-2020,10-16-2020,10-17-2020,10-18-2020,10-19-2020,10-20-2020,10-21-2020,10-22-2020,10-23-2020,10-24-2020,10-25-2020,10-26-2020,10-27-2020,10-28-2020,10-29-2020,10-30-2020,10-31-2020,11-01-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,11-06-2020,11-07-2020,11-08-2020,11-09-2020,11-10-2020,11-11-2020,11-12-2020,11-13-2020,11-14-2020,11-15-2020,11-16-2020,11-17-2020,11-18-2020,11-19-2020,11-20-2020,11-21-2020,11-22-2020,11-23-2020,11-24-2020,11-25-2020,11-26-2020,11-27-2020,11-28-2020,11-29-2020,11-30-2020,12-01-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,12-06-2020,12-07-2020,12-08-2020,12-09-2020,12-10-2020,12-11-2020,12-12-2020,12-13-2020,12-14-2020,12-15-2020,12-16-2020,12-17-2020,12-18-2020,12-19-2020,12-20-2020,12-21-2020,12-22-2020,12-23-2020,12-24-2020,12-25-2020,12-26-2020,12-27-2020,12-28-2020,12-29-2020,12-30-2020,12-31-2020,01-01-2021,01-02-2021,01-03-2021,01-04-2021,01-05-2021,01-06-2021,01-07-2021,01-08-2021,01-09-2021,01-10-2021,01-11-2021,01-12-2021,01-13-2021,01-14-2021,01-15-2021,01-16-2021,01-17-2021,01-18-2021,01-19-2021,01-20-2021
Andrews,C,11,22269,48003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,4,0,0,1,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,2,7,2,0,0,2,5,5,7,10,0,2,7,7,1,8,5,0,0,17,12,0,23,14,0,1,4,2,5,6,2,0,9,14,3,4,6,0,3,4,6,15,2,0,11,1,1,5,4,2,18,0,7,0,0,12,22,0,0,0,8,0,4,5,1,0,0,0,1,5,0,0,0,5,1,6,3,9,2,0,0,0,0,6,6,0,0,0,0,6,4,2,0,0,0,0,3,0,10,0,0,0,0,0,0,27,5,0,0,9,11,0,11,22,0,0,8,0,0,29,0,0,0,2,18,0,0,17,0,0,44,0,27,12,0,0,0,0,22,37,15,0,0,0,40,0,0,45,33,0,0,37,30,14,0,37,0,0,0,41,0,0,0,0,0,48,21,10,0,38,0,0,0,20,0,0,34,0,0,48,34,0,37,0,0,22,0,31,0,0,0,0,0,0,44,11,17,0,0,0,5,0,48,0,37,0,0,35,0,0,0,48,0,0,0,0
Angelina,J,23,90437,48005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,3,2,0,4,0,0,1,1,0,0,0,1,0,3,3,0,0,0,4,3,1,2,3,0,0,10,3,4,1,1,0,0,24,7,7,7,0,0,0,17,0,2,12,8,0,0,15,0,14,4,3,0,0,0,18,8,2,2,0,0,10,17,0,0,5,0,0,0,44,0,28,0,0,0,22,21,0,14,14,0,0,35,11,19,19,0,0,0,12,31,12,22,0,0,0,69,0,35,38,60,0,0,91,0,106,60,0,0,0,0,234,0,149,22,0,0,82,79,40,0,41,0,0,98,10,14,27,0,0,0,32,41,0,29,8,0,0,24,0,23,0,0,11,0,4,0,0,34,0,0,3,8,0,0,0,0,0,0,0,32,0,27,0,0,0,0,0,22,19,0,0,0,7,0,0,24,0,0,0,9,10,0,26,0,0,0,16,0,0,0,9,0,0,7,0,0,30,0,0,0,0,26,0,0,0,0,0,27,0,13,0,0,0,0,9,0,17,0,0,0,0,26,11,25,0,0,0,34,7,0,51,18,0,0,0,40,32,0,0,0,0,0,54,0,19,55,0,0,0,93,0,79,0,0,135,0,23,44,5,0,110,0,0,44,0,39,64,0,0,0,0,101,80,90,0,0,0,70,0,0,98,61,0,0,0,0,161,0,0,0,0,117,0
Aransas,N,29,27699,48007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,2,4,1,3,3,1,4,3,3,1,8,1,2,3,1,0,5,1,1,8,10,6,4,6,1,14,5,3,2,7,3,5,4,1,13,4,0,4,1,0,4,3,4,3,1,4,5,1,0,3,0,1,0,3,0,0,4,3,0,1,0,0,0,10,0,2,2,0,5,-2,78,2,0,3,0,0,1,0,3,0,0,0,5,1,2,6,0,3,1,0,2,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,-1,0,0,5,1,2,0,1,1,0,1,0,0,0,0,0,9,0,0,3,0,3,3,0,4,0,1,0,1,1,0,0,0,17,0,5,4,2,0,3,9,0,22,1,7,3,1,7,0,7,2,3,5,0,5,0,6,7,8,1,2,12,0,3,13,0,5,0,8,0,1,6,8,4,0,6,0,8,2,10,7,2,9,0,8,13,8,16,2,11,0,1,12
Archer,F,13,8344,48009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,2,1,0,-1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,6,1,1,2,2,0,0,0,0,0,3,3,0,0,1,2,4,2,1,0,0,4,0,3,2,2,0,0,0,3,1,3,0,0,0,1,0,-1,2,0,0,0,10,0,3,3,2,0,0,0,0,0,0,1,0,0,0,1,0,9,0,0,0,3,2,2,1,8,0,0,0,19,0,3,1,0,0,5,12,6,1,4,0,0,5,0,1,0,0,0,0,10,6,0,4,6,0,0,10,2,11,7,4,0,0,13,4,3,0,0,9,0,0,16,19,-1,9,0,0,24,0,7,8,8,0,0,25,5,5,10,4,0,0,32,4,2,0,0,22,0,14,5,11,9,0,0,0,38,8,21,8,1,0,0,25,3,3,7,5,0,0,0,9
Armstrong,E,33,1948,48011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,1,-2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,3,1,1,1,0,0,3,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,0,4,0,0,0,0,0,1,1,3,0,0,5,0,1,0,2,0,0,3,2,0,1,2,0,0,3,1,1,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,5,0,0,0,1,1,1,1,1,0,0,0,1,0,2,0,0,0,1,4
Anderson,J,11,58199,48001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,2,0,2,4,0,2,0,2,1,4,0,6,1,2,0,0,2,4,2,1,0,0,0,9,0,1,1,2,0,0,6,1,2,1,2,0,0,0,0,0,6,0,0,0,4,2,7,2,-2,0,0,6,0,4,0,7,0,0,887,1,13,4,-1,0,0,3,4,1,3,0,-1,0,16,8,23,9,-2,12,0,26,44,381,228,35,0,94,27,27,12,47,14,0,-2,36,11,15,39,24,0,2,20,10,2,22,13,0,98,22,26,-2,26,23,0,1,3,22,9,-2,-1,0,0,4,-15,-7,1,8,0,6,18,4,29,13,7,0,0,18,7,-8,19,16,2,0,138,50,32,-16,3,0,-1,14,23,13,-1068,-3,0,1051,9,21,3,7,8,0,0,-16,8,12,-15,-8,0,38,-23,13,9,14,-4,0,11,13,-7,18,3,3,0,0,11,2,12,1,6,0,5,3,12,9,0,9,0,0,8,-6,30,-3,10,3,0,7,7,10,-4,4,6,0,14,30,6,-9,35,0,-9,25,7,21,1,-5,0,0,23,8,13,6,6,0,0,25,2,-4,-2,39,0,0,14,24,99,8,16,0,0,24,10,28,-6,0,0,0,193,-5,5,257,0,0,0,417,105,-1,0,14,23,0,-63,75,-53,17,1,26,0,0,71
Atascosa,N,14,51831,48013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,1,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,2,0,3,0,0,0,0,0,2,1,0,0,0,2,3,0,0,3,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,1,0,0,3,-2,0,-1,0,0,0,0,3,17,7,1,0,9,5,3,-2,2,3,0,16,2,8,0,19,0,0,13,4,36,9,10,68,0,0,14,3,8,55,0,0,15,9,11,1,2,0,0,3,0,9,0,0,0,0,8,6,6,9,3,0,0,19,31,12,10,8,0,0,2,4,-4,7,18,0,0,7,7,1,6,3,0,0,1,3,4,0,0,0,0,0,10,10,7,12,0,0,0,6,2,3,1,0,522,1,4,0,-1,-9,0,90,-88,1,18,1,0,0,79,-1,-4,-3,1,-1,0,15,-1,3,0,-2,2,0,3,0,8,3,0,2,0,14,-2,3,7,0,-5,0,2,2,1,2,4,2,0,30,5,3,0,11,26,0,0,10,30,1,2,-1,0,0,11,62,3,0,0,0,1,9,144,-6,29,3,0,0,8,68,-1,3,34,0,1,15,149,2,77,2,0,0,4,171,0,0,0,0,0,3,1,9,0,0,0,0,233,5,151,36,22,0,0,-4,193,0,31,65,0,0,0,88
Austin,K,12,30402,48015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,1,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2,0,0,1,0,1,0,0,1,0,0,2,0,1,0,1,1,0,0,0,2,0,0,0,3,-1,0,2,1,0,0,2,1,5,0,1,2,3,8,1,0,3,1,6,2,2,1,1,4,4,0,11,8,5,12,7,4,2,4,6,1,3,6,5,2,3,5,4,1,0,11,1,11,9,7,2,1,1,0,0,3,2,5,7,0,12,7,20,18,10,18,13,3,1,3,9,8,16,3,20,7,0,3,0,0,12,4,0,1,1,0,15,6,1,1,1,1,8,4,4,0,0,0,7,14,2,1,7,0,-8,2,3,9,2,0,0,0,-2,2,0,-1,4,0,0,1,0,1,-1,0,1,-1,1,2,1,0,0,0,1,1,0,1,3,1,0,0,0,0,2,1,4,2,-1,1,0,0,1,1,0,9,-1,5,1,0,5,0,2,0,6,2,4,4,9,8,11,2,8,4,13,15,11,0,14,5,6,14,8,14,-2,-3,10,4,8,6,3,14,11,10,12,14,6,18,17,16,8,9,26,12,0,18,7,6,12,22,39,13,13,11,5,18,20,19,18,31,9,18,9,18,15,19,27
Bailey,D,11,7692,48017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,4,0,2,1,0,0,0,2,0,5,2,0,0,0,2,1,1,4,0,0,6,12,31,0,0,0,3,2,-2,1,1,5,0,0,1,6,1,1,0,0,0,6,1,2,1,0,0,0,0,0,5,2,1,0,5,1,0,2,2,2,0,0,9,7,3,5,2,0,0,1,7,2,2,1,0,0,4,4,1,3,4,0,0,8,0,1,0,0,0,0,2,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,-1,0,0,0,4,4,3,0,2,0,0,5,2,0,2,0,0,0,4,-1,4,3,3,3,0,-1,3,5,5,4,4,0,0,0,7,5,4,0,0,16,0,0,15,0,0,0,3,13,7,0,25,0,0,19,7,0,22,1,0,1,13,0,12,5,15,0,0,1,0,15,0,1,0,0,5,10,6,4,7,0,3,4,2,0,11,3,0,0,1,0,2,1,0,0,0,5,3,0,0,0,0,0,1,1,1,2,0,0,0,2,2,1,2,0,0,0,2,0,2,1,1,0,0,1,0
Bandera,B,25,21246,48019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,2,0,0,1,-1,0,1,0,0,0,0,5,1,1,4,0,0,0,0,6,5,6,0,0,0,2,1,0,0,1,0,3,3,2,10,5,0,0,7,1,4,0,0,0,0,0,6,0,0,2,0,0,1,1,2,3,2,0,0,0,2,1,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,-2,0,0,0,41,0,5,0,0,-1,0,19,-17,1,0,0,0,0,17,0,-1,0,-1,2,0,2,0,-1,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,3,2,0,0,2,1,3,1,0,0,5,3,0,0,0,3,0,0,3,4,0,4,4,0,0,0,9,0,0,0,0,0,5,42,1,1,3,0,0,2,23,1,4,2,0,0,2,22,0,20,8,0,0,10,34,0,13,0,0,0,0,4,0,1,0,0,0,76,22,33,11,13,0,0,3,38,0,7,10,0,0,0,23
