Counties,Populations,FIPS,Dates,Weeks,Values,Grades
Andrews,22269,48003,03-16-2020,1,0.0,none
Andrews,22269,48003,03-17-2020,2,0.0,none
Andrews,22269,48003,03-18-2020,3,0.0,none
Andrews,22269,48003,03-19-2020,4,0.0,none
Andrews,22269,48003,03-20-2020,5,0.0,none
Andrews,22269,48003,03-21-2020,6,0.0,none
Andrews,22269,48003,03-22-2020,7,0.0,none
Andrews,22269,48003,03-23-2020,1,0.0,none
Andrews,22269,48003,03-24-2020,2,0.0,none
Andrews,22269,48003,03-25-2020,3,0.0,none
Andrews,22269,48003,03-26-2020,4,0.0,none
Andrews,22269,48003,03-27-2020,5,0.0,none
Andrews,22269,48003,03-28-2020,6,0.0,none
Andrews,22269,48003,03-29-2020,7,0.0,none
Andrews,22269,48003,03-30-2020,1,0.0,none
Andrews,22269,48003,03-31-2020,2,0.0,none
Andrews,22269,48003,04-01-2020,3,0.0,none
Andrews,22269,48003,04-02-2020,4,0.0,none
Andrews,22269,48003,04-03-2020,5,0.0,none
Andrews,22269,48003,04-04-2020,6,0.6415067711039689,>0
Andrews,22269,48003,04-05-2020,7,3.8490406266238137,>0
Andrews,22269,48003,04-06-2020,1,3.8490406266238137,>0
Andrews,22269,48003,04-07-2020,2,6.41506771103969,>5
Andrews,22269,48003,04-08-2020,3,6.41506771103969,>5
Andrews,22269,48003,04-09-2020,4,6.41506771103969,>5
Andrews,22269,48003,04-10-2020,5,7.056574482143659,>5
Andrews,22269,48003,04-11-2020,6,6.41506771103969,>5
Andrews,22269,48003,04-12-2020,7,3.207533855519845,>0
Andrews,22269,48003,04-13-2020,1,3.8490406266238137,>0
Andrews,22269,48003,04-14-2020,2,1.9245203133119069,>0
Andrews,22269,48003,04-15-2020,3,1.9245203133119069,>0
Andrews,22269,48003,04-16-2020,4,5.773560939935721,>5
Andrews,22269,48003,04-17-2020,5,5.132054168831751,>5
Andrews,22269,48003,04-18-2020,6,5.132054168831751,>5
Andrews,22269,48003,04-19-2020,7,5.132054168831751,>5
Andrews,22269,48003,04-20-2020,1,4.490547397727783,>0
Andrews,22269,48003,04-21-2020,2,3.8490406266238137,>0
Andrews,22269,48003,04-22-2020,3,3.8490406266238137,>0
Andrews,22269,48003,04-23-2020,4,0.0,none
Andrews,22269,48003,04-24-2020,5,0.0,none
Andrews,22269,48003,04-25-2020,6,0.0,none
Andrews,22269,48003,04-26-2020,7,0.0,none
Andrews,22269,48003,04-27-2020,1,0.0,none
Andrews,22269,48003,04-28-2020,2,0.0,none
Andrews,22269,48003,04-29-2020,3,0.0,none
Andrews,22269,48003,04-30-2020,4,0.0,none
Andrews,22269,48003,05-01-2020,5,0.6415067711039689,>0
Andrews,22269,48003,05-02-2020,6,0.6415067711039689,>0
Andrews,22269,48003,05-03-2020,7,1.2830135422079378,>0
Andrews,22269,48003,05-04-2020,1,1.2830135422079378,>0
Andrews,22269,48003,05-05-2020,2,1.2830135422079378,>0
Andrews,22269,48003,05-06-2020,3,1.2830135422079378,>0
Andrews,22269,48003,05-07-2020,4,1.2830135422079378,>0
Andrews,22269,48003,05-08-2020,5,0.6415067711039689,>0
Andrews,22269,48003,05-09-2020,6,0.6415067711039689,>0
Andrews,22269,48003,05-10-2020,7,0.0,none
Andrews,22269,48003,05-11-2020,1,0.0,none
Andrews,22269,48003,05-12-2020,2,0.6415067711039689,>0
Andrews,22269,48003,05-13-2020,3,0.6415067711039689,>0
Andrews,22269,48003,05-14-2020,4,0.6415067711039689,>0
Andrews,22269,48003,05-15-2020,5,0.6415067711039689,>0
Andrews,22269,48003,05-16-2020,6,0.6415067711039689,>0
Andrews,22269,48003,05-17-2020,7,0.6415067711039689,>0
Andrews,22269,48003,05-18-2020,1,0.6415067711039689,>0
Andrews,22269,48003,05-19-2020,2,0.0,none
Andrews,22269,48003,05-20-2020,3,0.0,none
Andrews,22269,48003,05-21-2020,4,0.0,none
Andrews,22269,48003,05-22-2020,5,0.6415067711039689,>0
Andrews,22269,48003,05-23-2020,6,0.6415067711039689,>0
Andrews,22269,48003,05-24-2020,7,1.2830135422079378,>0
Andrews,22269,48003,05-25-2020,1,3.207533855519845,>0
Andrews,22269,48003,05-26-2020,2,3.207533855519845,>0
Andrews,22269,48003,05-27-2020,3,3.207533855519845,>0
Andrews,22269,48003,05-28-2020,4,3.207533855519845,>0
Andrews,22269,48003,05-29-2020,5,2.5660270844158757,>0
Andrews,22269,48003,05-30-2020,6,2.5660270844158757,>0
Andrews,22269,48003,05-31-2020,7,1.9245203133119069,>0
Andrews,22269,48003,06-01-2020,1,0.0,none
Andrews,22269,48003,06-02-2020,2,0.0,none
Andrews,22269,48003,06-03-2020,3,0.0,none
Andrews,22269,48003,06-04-2020,4,0.0,none
Andrews,22269,48003,06-05-2020,5,0.0,none
Andrews,22269,48003,06-06-2020,6,0.0,none
Andrews,22269,48003,06-07-2020,7,0.0,none
Andrews,22269,48003,06-08-2020,1,0.0,none
Andrews,22269,48003,06-09-2020,2,0.0,none
Andrews,22269,48003,06-10-2020,3,0.0,none
Andrews,22269,48003,06-11-2020,4,0.0,none
Andrews,22269,48003,06-12-2020,5,0.0,none
Andrews,22269,48003,06-13-2020,6,0.6415067711039689,>0
Andrews,22269,48003,06-14-2020,7,0.6415067711039689,>0
Andrews,22269,48003,06-15-2020,1,0.6415067711039689,>0
Andrews,22269,48003,06-16-2020,2,1.9245203133119069,>0
Andrews,22269,48003,06-17-2020,3,1.9245203133119069,>0
Andrews,22269,48003,06-18-2020,4,3.8490406266238137,>0
Andrews,22269,48003,06-19-2020,5,5.132054168831751,>5
Andrews,22269,48003,06-20-2020,6,8.981094795455567,>5
Andrews,22269,48003,06-21-2020,7,10.264108337663503,>10
Andrews,22269,48003,06-22-2020,1,10.264108337663503,>10
Andrews,22269,48003,06-23-2020,2,8.981094795455567,>5
Andrews,22269,48003,06-24-2020,3,10.264108337663503,>10
Andrews,22269,48003,06-25-2020,4,11.547121879871442,>10
Andrews,22269,48003,06-26-2020,5,13.47164219318335,>10
Andrews,22269,48003,06-27-2020,6,13.47164219318335,>10
Andrews,22269,48003,06-28-2020,7,18.603696362015103,>15
Andrews,22269,48003,06-29-2020,1,18.603696362015103,>15
Andrews,22269,48003,06-30-2020,2,19.88670990422304,>15
Andrews,22269,48003,07-01-2020,3,23.094243759742884,>21
Andrews,22269,48003,07-02-2020,4,24.377257301950824,>21
Andrews,22269,48003,07-03-2020,5,21.811230217534945,>21
Andrews,22269,48003,07-04-2020,6,22.452736988638915,>21
Andrews,22269,48003,07-05-2020,7,19.24520313311907,>15
Andrews,22269,48003,07-06-2020,1,19.24520313311907,>15
Andrews,22269,48003,07-07-2020,2,17.962189590911134,>15
Andrews,22269,48003,07-08-2020,3,24.377257301950824,>21
Andrews,22269,48003,07-09-2020,4,27.58479115747067,>21
Andrews,22269,48003,07-10-2020,5,26.9432843863667,>21
Andrews,22269,48003,07-11-2020,6,36.56588595292623,>28
Andrews,22269,48003,07-12-2020,7,42.33944689286196,>40
Andrews,22269,48003,07-13-2020,1,42.33944689286196,>40
Andrews,22269,48003,07-14-2020,2,42.98095366396592,>40
Andrews,22269,48003,07-15-2020,3,34.64136563961433,>28
Andrews,22269,48003,07-16-2020,4,28.226297928574635,>28
Andrews,22269,48003,07-17-2020,5,31.43383178409448,>28
Andrews,22269,48003,07-18-2020,6,20.528216675327005,>15
Andrews,22269,48003,07-19-2020,7,12.83013542207938,>10
Andrews,22269,48003,07-20-2020,1,12.83013542207938,>10
Andrews,22269,48003,07-21-2020,2,17.962189590911134,>15
Andrews,22269,48003,07-22-2020,3,24.377257301950824,>21
Andrews,22269,48003,07-23-2020,4,25.01876407305479,>21
Andrews,22269,48003,07-24-2020,5,24.377257301950824,>21
Andrews,22269,48003,07-25-2020,6,24.377257301950824,>21
Andrews,22269,48003,07-26-2020,7,23.094243759742884,>21
Andrews,22269,48003,07-27-2020,1,25.01876407305479,>21
Andrews,22269,48003,07-28-2020,2,21.811230217534945,>21
Andrews,22269,48003,07-29-2020,3,16.679176048703194,>15
Andrews,22269,48003,07-30-2020,4,24.377257301950824,>21
Andrews,22269,48003,07-31-2020,5,23.094243759742884,>21
Andrews,22269,48003,08-01-2020,6,19.24520313311907,>15
Andrews,22269,48003,08-02-2020,7,26.30177761526273,>21
Andrews,22269,48003,08-03-2020,1,25.01876407305479,>21
Andrews,22269,48003,08-04-2020,2,23.094243759742884,>21
Andrews,22269,48003,08-05-2020,3,22.452736988638915,>21
Andrews,22269,48003,08-06-2020,4,15.396162506495255,>15
Andrews,22269,48003,08-07-2020,5,15.396162506495255,>15
Andrews,22269,48003,08-08-2020,6,26.9432843863667,>21
Andrews,22269,48003,08-09-2020,7,19.88670990422304,>15
Andrews,22269,48003,08-10-2020,1,23.735750530846854,>21
Andrews,22269,48003,08-11-2020,2,23.094243759742884,>21
Andrews,22269,48003,08-12-2020,3,19.88670990422304,>15
Andrews,22269,48003,08-13-2020,4,25.01876407305479,>21
Andrews,22269,48003,08-14-2020,5,37.84889949513417,>28
Andrews,22269,48003,08-15-2020,6,26.30177761526273,>21
Andrews,22269,48003,08-16-2020,7,26.30177761526273,>21
Andrews,22269,48003,08-17-2020,1,21.811230217534945,>21
Andrews,22269,48003,08-18-2020,2,26.9432843863667,>21
Andrews,22269,48003,08-19-2020,3,26.9432843863667,>21
Andrews,22269,48003,08-20-2020,4,21.811230217534945,>21
Andrews,22269,48003,08-21-2020,5,10.905615108767472,>10
Andrews,22269,48003,08-22-2020,6,11.547121879871442,>10
Andrews,22269,48003,08-23-2020,7,11.547121879871442,>10
Andrews,22269,48003,08-24-2020,1,11.547121879871442,>10
Andrews,22269,48003,08-25-2020,2,6.41506771103969,>5
Andrews,22269,48003,08-26-2020,3,7.056574482143659,>5
Andrews,22269,48003,08-27-2020,4,7.6980812532476275,>5
Andrews,22269,48003,08-28-2020,5,4.490547397727783,>0
Andrews,22269,48003,08-29-2020,6,3.8490406266238137,>0
Andrews,22269,48003,08-30-2020,7,3.8490406266238137,>0
Andrews,22269,48003,08-31-2020,1,7.056574482143659,>5
Andrews,22269,48003,09-01-2020,2,7.6980812532476275,>5
Andrews,22269,48003,09-02-2020,3,10.905615108767472,>10
Andrews,22269,48003,09-03-2020,4,9.622601566559535,>5
Andrews,22269,48003,09-04-2020,5,15.396162506495255,>15
Andrews,22269,48003,09-05-2020,6,16.679176048703194,>15
Andrews,22269,48003,09-06-2020,7,16.679176048703194,>15
Andrews,22269,48003,09-07-2020,1,13.47164219318335,>10
Andrews,22269,48003,09-08-2020,2,12.83013542207938,>10
Andrews,22269,48003,09-09-2020,3,8.981094795455567,>5
Andrews,22269,48003,09-10-2020,4,10.905615108767472,>10
Andrews,22269,48003,09-11-2020,5,8.981094795455567,>5
Andrews,22269,48003,09-12-2020,6,7.6980812532476275,>5
Andrews,22269,48003,09-13-2020,7,7.6980812532476275,>5
Andrews,22269,48003,09-14-2020,1,7.6980812532476275,>5
Andrews,22269,48003,09-15-2020,2,7.6980812532476275,>5
Andrews,22269,48003,09-16-2020,3,11.547121879871442,>10
Andrews,22269,48003,09-17-2020,4,10.264108337663503,>10
Andrews,22269,48003,09-18-2020,5,7.6980812532476275,>5
Andrews,22269,48003,09-19-2020,6,7.6980812532476275,>5
Andrews,22269,48003,09-20-2020,7,7.6980812532476275,>5
Andrews,22269,48003,09-21-2020,1,7.6980812532476275,>5
Andrews,22269,48003,09-22-2020,2,7.6980812532476275,>5
Andrews,22269,48003,09-23-2020,3,5.773560939935721,>5
Andrews,22269,48003,09-24-2020,4,3.207533855519845,>0
Andrews,22269,48003,09-25-2020,5,8.339588024351597,>5
Andrews,22269,48003,09-26-2020,6,8.339588024351597,>5
Andrews,22269,48003,09-27-2020,7,8.339588024351597,>5
Andrews,22269,48003,09-28-2020,1,8.339588024351597,>5
Andrews,22269,48003,09-29-2020,2,8.339588024351597,>5
Andrews,22269,48003,09-30-2020,3,6.41506771103969,>5
Andrews,22269,48003,10-01-2020,4,6.41506771103969,>5
Andrews,22269,48003,10-02-2020,5,17.320682819807164,>15
Andrews,22269,48003,10-03-2020,6,20.528216675327005,>15
Andrews,22269,48003,10-04-2020,7,20.528216675327005,>15
Andrews,22269,48003,10-05-2020,1,20.528216675327005,>15
Andrews,22269,48003,10-06-2020,2,26.30177761526273,>21
Andrews,22269,48003,10-07-2020,3,33.35835209740639,>28
Andrews,22269,48003,10-08-2020,4,33.35835209740639,>28
Andrews,22269,48003,10-09-2020,5,23.094243759742884,>21
Andrews,22269,48003,10-10-2020,6,33.99985886851036,>28
Andrews,22269,48003,10-11-2020,7,33.99985886851036,>28
Andrews,22269,48003,10-12-2020,1,33.99985886851036,>28
Andrews,22269,48003,10-13-2020,2,33.35835209740639,>28
Andrews,22269,48003,10-14-2020,3,26.30177761526273,>21
Andrews,22269,48003,10-15-2020,4,26.30177761526273,>21
Andrews,22269,48003,10-16-2020,5,37.84889949513417,>28
Andrews,22269,48003,10-17-2020,6,23.735750530846854,>21
Andrews,22269,48003,10-18-2020,7,23.735750530846854,>21
Andrews,22269,48003,10-19-2020,1,23.735750530846854,>21
Andrews,22269,48003,10-20-2020,2,19.88670990422304,>15
Andrews,22269,48003,10-21-2020,3,31.43383178409448,>28
Andrews,22269,48003,10-22-2020,4,31.43383178409448,>28
Andrews,22269,48003,10-23-2020,5,12.83013542207938,>10
Andrews,22269,48003,10-24-2020,6,23.735750530846854,>21
Andrews,22269,48003,10-25-2020,7,23.735750530846854,>21
Andrews,22269,48003,10-26-2020,1,23.735750530846854,>21
Andrews,22269,48003,10-27-2020,2,50.679034917213556,>40
Andrews,22269,48003,10-28-2020,3,39.13191303734211,>28
Andrews,22269,48003,10-29-2020,4,56.45259585714927,>40
Andrews,22269,48003,10-30-2020,5,64.1506771103969,>40
Andrews,22269,48003,10-31-2020,6,53.24506200162943,>40
Andrews,22269,48003,11-01-2020,7,53.24506200162943,>40
Andrews,22269,48003,11-02-2020,1,53.24506200162943,>40
Andrews,22269,48003,11-03-2020,2,25.01876407305479,>21
Andrews,22269,48003,11-04-2020,3,39.13191303734211,>28
Andrews,22269,48003,11-05-2020,4,45.5469807483818,>40
Andrews,22269,48003,11-06-2020,5,47.47150106169371,>40
Andrews,22269,48003,11-07-2020,6,47.47150106169371,>40
Andrews,22269,48003,11-08-2020,7,47.47150106169371,>40
Andrews,22269,48003,11-09-2020,1,47.47150106169371,>40
Andrews,22269,48003,11-10-2020,2,73.13177190585246,>40
Andrews,22269,48003,11-11-2020,3,59.01862294156515,>40
Andrews,22269,48003,11-12-2020,4,35.28287241071829,>28
Andrews,22269,48003,11-13-2020,5,54.52807554383736,>40
Andrews,22269,48003,11-14-2020,6,75.69779899026834,>40
Andrews,22269,48003,11-15-2020,7,75.69779899026834,>40
Andrews,22269,48003,11-16-2020,1,75.69779899026834,>40
Andrews,22269,48003,11-17-2020,2,73.77327867695642,>40
Andrews,22269,48003,11-18-2020,3,93.01848181007551,>40
Andrews,22269,48003,11-19-2020,4,101.99957660553108,>40
Andrews,22269,48003,11-20-2020,5,73.13177190585246,>40
Andrews,22269,48003,11-21-2020,6,75.69779899026834,>40
Andrews,22269,48003,11-22-2020,7,75.69779899026834,>40
Andrews,22269,48003,11-23-2020,1,75.69779899026834,>40
Andrews,22269,48003,11-24-2020,2,51.96204845942149,>40
